Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Fz,0.6586110791842074
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Fp1,0.17004103712318375
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F7,0.14978391504825928
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F3,0.5346014623823705
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC1,0.7850898420047929
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,C3,0.1607433331897989
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC5,0.2371941127991441
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FT9,0.03955046108098148
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,T7,0.046793295796225015
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP5,0.1508474739435915
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP1,0.3895964264142476
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P3,0.21185574740777602
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P7,0.034551922406448284
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,PO9,0.07161381423142489
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,O1,0.05391158026427909
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Pz,0.40088800451183465
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Oz,0.09318228308874192
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,O2,0.04007881932684881
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,PO10,0.004455453084264974
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P8,0.09285984434951251
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,P4,0.4244393001136185
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP2,0.3561942067384091
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,CP6,0.412949881919689
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,T8,0.36789683668878753
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FT10,0.01865268727334901
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC6,0.5142615866654077
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,C4,0.6459904465739901
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,FC2,0.7548246625163855
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F4,0.6135400258211197
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,F8,0.07391470033822709
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Cz,Fp2,0.30347806153473517
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,Fp1,0.23244777780346543
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,F7,0.25469660065073757
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,F3,0.7154686287585221
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,FC1,0.8481665005447422
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,C3,0.11922769097509857
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,FC5,0.2893242824995346
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,FT9,0.060253407166896616
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,T7,0.05402753519403611
MODULATION_DATASET,Band-Power Envelope Coherence,Theta,UltraSlow,Fz,CP5,0.08018194389437677
